region,prefecture,commune,canton,etab_nom,categorie,statut_simplifie,lat,lon
Maritime,Golfe,Golfe 1,Bè-Est,SPT Dzifa Kpota,Banque,Actif,6.164911666666665,1.269995
Maritime,Golfe,Golfe 4,Amoutivé,NSIA Banque - Direction générale,Banque,Actif,6.1366200384195695,1.2280632684965314
Maritime,Golfe,Golfe 6,Baguida,ECOBANK Baguida,Banque,Actif,6.164330909226384,1.3269297744176531
Maritime,Golfe,Golfe 1,Bè-Est,UTB Be Kpota,Banque,Actif,6.1581,1.255043333333333
Maritime,Golfe,Golfe 2,Bè-Centre,UTB Hedzranawo,Banque,Actif,6.182610000000001,1.2404883333333334
Maritime,Golfe,Golfe 2,Bè-Centre,UTB Novissi Jean Paul 2,Banque,Actif,6.174466666666666,1.2345683333333335
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,UMECTO Zossime,Micro-Finance,Actif,6.233313818374659,1.1533418882286626
Maritime,Golfe,Golfe 3,Bè-Ouest,UTB Sgi,Banque,Actif,6.188188307046548,1.2123085932812612
Maritime,Golfe,Golfe 3,Bè-Ouest,UTB Cadastre,Banque,Actif,6.163129999999999,1.2203616666666663
Maritime,Golfe,Golfe 4,Amoutivé,UTB Kwadjoviakope,Banque,Actif,6.113686666666665,1.1997333333333329
Maritime,Golfe,Golfe 5,Aflao-Gakli,UTB Adidogome,Banque,Actif,6.173938606467558,1.1844361581704723
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,WAGES Sanguera,Micro-Finance,Actif,6.227764718190804,1.11705832245944
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,FUCEC Togo -Togo COOPEC Akepe,Micro-Finance,Actif,6.228350320064125,1.1163963879472318
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,COOPEC Grace Plus Agningbe,Micro-Finance,Actif,6.2301,1.1125100000000006
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,WAGES Zossime,Micro-Finance,Actif,6.232699922230927,1.150194652967041
Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,FUCEC Togo Zossime,Micro-Finance,Actif,6.234060848226777,1.1515290669422864
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,CEC Canaan Assigomé,Micro-Finance,Actif,6.227470793061823,1.1588102180357074
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Assilassime Solidarite Agence Vakpossito,Micro-Finance,Actif,6.217833333333336,1.163551666666666
Maritime,Golfe,Golfe 4,Amoutivé,ORABANK Awsivito,Banque,Inactif,6.130712869496344,1.2225614917085577
Maritime,Golfe,Golfe 4,Amoutivé,BIA Togo Amoutivé,Banque,Inactif,6.13506543409183,1.2228141094151594
Maritime,Golfe,Golfe 4,Amoutivé,SUNU Bank Hanoukopé,Banque,Inactif,6.135189608577579,1.2190643228780644
Maritime,Golfe,Golfe 4,Amoutivé,BIDC,Banque,Inactif,6.136271742995631,1.2244005557775837
Maritime,Golfe,Golfe 4,Amoutivé,COFINA,Micro-Finance,Inactif,6.121898012826782,1.2099160178596031
Maritime,Golfe,Golfe 1,Bè-Est,CORIS Bank Dekon,Banque,Inactif,6.133650520545244,1.2356251122972517
Maritime,Golfe,Golfe 4,Amoutivé,BOA Adawalto,Banque,Inactif,6.122767502988975,1.22426464353923
Maritime,Golfe,Golfe 3,Bè-Ouest,FUCEC Togo Attikoumé,Micro-Finance,Inactif,6.167350061998798,1.2028448122307285
Kara,Kéran,Kéran 1,Kantè,Promo Finance Kanté,Micro-Finance,Actif,9.947216666666668,1.0474316666666663
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Club Entraide Sans Frontiere Microfinance( CEF-MF),Micro-Finance,Actif,6.324043333333334,1.2177033333333331
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,SPT Adeticope,Banque,Actif,6.3177049514139645,1.2168721067236126
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,FEDES Togo,Micro-Finance,Actif,6.317366666666667,1.217698333333333
Kara,Dankpen,Dankpen 1,Guérin-Kouka,SPT Guerin Kouka,Banque,Inactif,9.685076666666664,0.608898333333334
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,ASJD LEO 2000,Micro-Finance,Actif,6.211399000763923,1.1770465339023344
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Microfinance Trinité,Micro-Finance,Actif,6.218510565819639,1.1596863227492002
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,DSA Bank Vakpossito,Banque,Actif,6.219090565016318,1.1593217627558794
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,Microfinance MEDAD,Micro-Finance,Actif,6.218509999999998,1.1525749999999997
Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,Microfinance Ardi-mec,Micro-Finance,Actif,6.2136982237047125,1.1607790281442616
Maritime,Golfe,Golfe 5,Aflao-Gakli,Microfinance COCEC,Micro-Finance,Inactif,6.210326028711114,1.1580462648295022
Kara,Kéran,Kéran 1,Kantè,SPT Kanté,Banque,Actif,9.959381666666664,1.0474900000000005
Kara,Kéran,Kéran 1,Kantè,FUCEC Togo Kante,Micro-Finance,Actif,9.958663333333334,1.0457083333333328
Kara,Kéran,Kéran 1,Kantè,SUNU Bank Kanté,Banque,Actif,9.957055000000002,1.053913333333333
Kara,Kéran,Kéran 1,Kantè,MUFEC Kanté,Micro-Finance,Actif,9.958885,1.048891666666666
Maritime,Zio,Zio 2,Kovié,FECECAV Kovie,Micro-Finance,Actif,6.341032485208888,1.107539923832058
Kara,Kéran,Kéran 1,Kantè,ORABANK Kanté,Banque,Actif,9.952220000000002,1.0468766666666662
Kara,Kéran,Kéran 1,Kantè,UTB Kante,Banque,Actif,9.958818333333332,1.046411666666666
Kara,Kozah,Kozah 2,Pya,UTB Pya,Banque,Actif,9.6474589337942,1.14661702228107
Kara,Kozah,Kozah 2,Pya,SPT Pya,Banque,Actif,9.65284666666667,1.144356666666667
Kara,Kozah,Kozah 1,Commune De Kara,BOA Ewoou,Banque,Actif,9.549259674086525,1.1897493993518578
Kara,Kozah,Kozah 1,Commune De Kara,SPT Welade,Banque,Actif,9.54998202102313,1.189634878046256
Kara,Kozah,Kozah 1,Commune De Kara,CAVEC Lidaw,Micro-Finance,Actif,9.54471760300309,1.189143436142396
Kara,Kozah,Kozah 1,Commune De Kara,CORIS Bank Cofake,Banque,Actif,9.54879200653476,1.196452446855992
Kara,Kozah,Kozah 1,Commune De Kara,BIA Togo Ewonou,Banque,Inactif,9.54734474775011,1.1925355239357285
Kara,Kozah,Kozah 1,Commune De Kara,SPT Cofac,Banque,Actif,9.548288333333334,1.1948716666666663
Kara,Kozah,Kozah 1,Commune De Kara,ORABANK Ewoou,Banque,Actif,9.55054805998585,1.189048978348377
Kara,Kozah,Kozah 1,Commune De Kara,NSIA Banque Ewoou,Banque,Actif,9.54791851272773,1.1902546966948893
Kara,Kozah,Kozah 1,Commune De Kara,ECOBANK Ewoou,Banque,Actif,9.548949901652454,1.1899261329472668
Kara,Kozah,Kozah 1,Commune De Kara,Banque Atlantique Kpingning-Boua,Banque,Actif,9.550378425580172,1.1891291021417325
